Rank,School,Country,AvgSalary,PreSalary,GradJobs,PhD,Avg. Age of Students,Avg. work exp. of students (Months),Total Tuition ($),Duration (Months)
1,Chicago (Booth),US,113217,63,93,96,27,60,106800,21
2,Dartmouth (Tuck),US,115143,62,97,100,28,60,106980,21
3,Virginia (Darden),US,104478,67,95,97,27,60,107800,21
4,Harvard,US,121785,44,97,94,27,48,107000,18
5,Columbia,US,113340,55,98,97,28,60,111736,20
6,California At Berkeley (Haas),US,114232,72,92,100,28,60,106792,21
7,MIT (Sloan),US,115355,51,96,100,28,56,116400,22
8,Stanford,US,127189,56,95,91,28,48,114600,21
9,IESE,Spain,126765,153,95,100,27,60,95610,19
10,IMD,Switz.,145264,77,95,100,31,84,67416,11
11,New York (Stern),US,105798,49,93,100,27,55,96640,20
12,London,Britain,118514,68,93,100,29,60,92144,15
13,Pennsylvania (Wharton),US,118024,50,95,100,28,55,107852,21
14,HEC Paris,France,109880,118,90,100,30,72,66802,16
15,Cornell (Johnson),US,103628,106,90,93,27,60,107592,21
16,York (Schulich),Canada,92700,165,90,99,28,60,61800,8
17,Carnegie Mellon (Tepper),US,101150,74,91,92,29,53,108272,21
18,ESADE,Spain,122224,108,92,88,28,72,81693,12
19,INSEAD,France/Singapore,119269,39,92,95,29,67,80719,10
20,Northwestern (Kellogg),US,111928,49,95,91,27,58,113100,22
21,Emory (Goizueta),US,100682,105,95,92,29,55,87200,22
22,IE,Spain,103126,73,92,95,29,60,82389,13
23,UCLA (Anderson),US,103368,62,90,100,28,56,105160,21
24,Michigan (Ross),US,106500,68,86,94,28,60,105500,20
25,Bath,Britain,129735,58,89,100,29,78,36057,12
,Average,,113732,76,93,97,28,61,94962,18
